gk_id,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Ast,G+A,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,Sh,Sh/90,xG_stats_shooting,npxG_stats_shooting,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Att_stats_defense,Lost,Blocks_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Tkld,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,CrdY_stats_misc,CrdR_stats_misc,Fls,Fld_stats_misc,Int_stats_misc,TklW_stats_misc,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
12,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,27.0,1997.0,38,38,3420,38.0,0,0,3,0,0.0,0.0,0.2,0.2,0.0,0.0,0,0,1,0.03,0.0,0.0,0.0,0.0,745,1216,61.3,20401,13551,0,0.2,0.1,-0.2,3,23,1,0,842,373,100,0,0,745,2,1,2,6,4,0,0,0,2,22,0,4,0.11,3,1,0,0.0,1308,1065,1303,4,1,1,1308,0,0,0,751,4483,2136,0,0,0,2,0,580,3,0,0,2,0,1,0,0,26,11,1,91.7,51.0,1.34,150.0,101.0,66.7,13.0,14.0,11.0,11.0,28.9,2.0,1.0,1.0,51.2,0.35,3.2,0.08,157.0,600.0,26.2,942.0,115.0,47.5,38.5,559.0,30.0,5.4,40.0,1.05,14.3
13,Mads Hermansen,dk DEN,GK,Leicester City,eng Premier League,24.0,2000.0,27,27,2385,26.5,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,654,1073,61.0,17066,12387,0,0.0,0.0,0.0,0,20,1,1,840,229,86,0,2,654,1,1,1,1,0,1,1,0,1,13,4,3,0.11,3,0,0,0.0,1147,831,1106,43,0,0,1147,1,1,0,734,3625,1904,0,0,0,1,0,625,1,0,0,3,0,1,0,0,17,4,1,80.0,58.0,2.19,155.0,99.0,64.5,3.0,6.0,18.0,1.0,3.7,4.0,3.0,1.0,56.4,0.35,1.4,0.05,114.0,471.0,24.2,926.0,133.0,39.2,34.6,419.0,26.0,6.2,26.0,0.98,13.1
14,Vitezslav Jaros,cz CZE,GK,Liverpool,eng Premier League,23.0,2001.0,1,0,12,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,8,75.0,302,273,0,0.0,0.0,0.0,0,2,0,0,7,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,8,5,8,0,0,0,8,0,0,0,7,29,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.25,5.0,7.0,71.4,7.0,2.0,85.7,50.9,2.0,0.0,0.0,0.0,0.0,11.0
15,Sam Johnstone,eng ENG,GK,Wolverhampton Wanderers,eng Premier League,31.0,1993.0,7,7,630,7.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,184,278,66.2,5548,4270,0,0.0,0.0,0.0,1,6,0,0,230,47,22,0,0,184,0,0,0,1,1,0,0,0,0,7,0,2,0.29,2,0,0,0.0,306,229,304,2,0,0,306,0,0,0,196,1221,756,0,0,0,0,0,179,0,0,0,0,0,0,0,0,9,4,0,100.0,17.0,2.43,39.0,23.0,61.5,0.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,13.0,0.29,-3.0,-0.43,52.0,129.0,40.3,252.0,28.0,45.6,36.6,104.0,8.0,7.7,11.0,1.57,13.4
16,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,22.0,2002.0,6,6,540,6.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,158,189,83.6,2843,1649,0,0.0,0.0,0.0,0,1,0,0,169,20,2,0,0,158,0,0,0,0,0,0,0,0,0,0,3,1,0.17,1,0,0,0.0,202,174,201,1,0,0,202,0,0,0,145,676,423,0,0,0,0,0,139,0,0,1,1,0,0,1,0,5,0,0,0.0,9.0,1.5,28.0,19.0,71.4,3.0,0.0,3.0,1.0,16.7,1.0,1.0,0.0,9.3,0.3,0.3,0.04,7.0,33.0,21.2,171.0,19.0,18.1,24.1,53.0,2.0,3.8,2.0,0.33,13.2
17,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,25.0,1998.0,10,10,900,10.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,289,382,75.7,6252,3968,0,0.0,0.0,0.0,0,6,0,0,344,38,20,0,0,289,0,0,0,0,0,0,0,0,0,1,2,3,0.3,3,0,1,0.1,398,286,396,2,0,0,398,1,1,0,290,1131,616,0,0,0,1,0,275,0,0,0,3,0,0,0,0,18,1,0,100.0,12.0,1.2,37.0,24.0,67.6,7.0,2.0,1.0,4.0,40.0,1.0,0.0,1.0,11.6,0.3,-0.4,-0.04,29.0,115.0,25.2,364.0,49.0,28.6,29.0,113.0,6.0,5.3,9.0,0.9,14.0
18,Tom King,wls WAL,GK,Wolverhampton Wanderers,eng Premier League,29.0,1995.0,1,0,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,1,1,0,0,0,1,0,0,0,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
19,Antonín Kinský,cz CZE,GK,Tottenham Hotspur,eng Premier League,21.0,2003.0,6,6,540,6.0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.01,1,1,0,0.0,0.0,0.0,0.0,0.0,167,217,77.0,3990,2480,0,0.1,0.0,-0.1,1,2,0,1,177,39,9,0,0,167,3,1,3,1,0,0,0,0,3,9,1,1,0.17,1,0,0,0.0,237,205,234,3,0,0,237,0,0,0,144,760,491,1,0,0,0,0,126,0,0,0,0,0,1,0,0,6,2,0,100.0,11.0,1.83,32.0,23.0,65.6,1.0,0.0,5.0,1.0,16.7,0.0,0.0,0.0,10.5,0.33,1.5,0.25,17.0,58.0,29.3,186.0,37.0,26.9,30.7,112.0,10.0,8.9,9.0,1.5,12.1
20,Bernd Leno,de GER,GK,Fulham,eng Premier League,32.0,1992.0,38,38,3420,38.0,1,1,5,0,0.0,0.0,0.1,0.1,0.03,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1149,1404,81.8,28206,16978,1,0.1,0.1,0.9,2,16,2,0,1160,243,71,0,0,1149,2,2,2,2,0,1,1,0,2,11,5,6,0.16,6,0,2,0.05,1479,1190,1466,13,0,0,1479,0,0,0,955,3956,2233,0,0,0,0,0,862,5,0,0,4,0,2,0,0,50,9,1,90.0,54.0,1.42,159.0,106.0,67.9,15.0,9.0,14.0,5.0,13.2,4.0,3.0,1.0,48.9,0.29,-3.1,-0.08,141.0,367.0,38.4,1231.0,167.0,22.7,28.9,507.0,23.0,4.5,33.0,0.87,13.3
21,Joe Lumley,eng ENG,GK,Southampton,eng Premier League,29.0,1995.0,3,3,270,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,106,151,70.2,2342,1476,0,0.0,0.0,0.0,0,2,0,0,128,22,7,0,0,106,0,0,0,0,0,0,0,0,0,3,3,0,0.0,0,0,0,0.0,164,116,161,3,0,0,164,0,0,0,103,476,296,0,0,0,0,0,108,0,0,0,0,0,0,0,0,2,2,1,66.7,7.0,2.33,20.0,13.0,65.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.7,0.39,0.7,0.22,15.0,50.0,30.0,135.0,14.0,34.1,30.0,56.0,2.0,3.6,7.0,2.33,18.0
22,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,31.0,1992.0,37,37,3194,35.5,0,0,5,1,0.0,0.0,0.5,0.5,0.0,0.02,0,4,0,0.0,0.0,0.0,0.0,0.0,1091,1387,78.7,28659,17513,0,0.5,0.1,-0.5,2,27,0,4,1117,263,91,0,2,1091,3,3,3,2,0,1,1,0,3,17,6,6,0.17,5,1,1,0.03,1449,1095,1429,20,0,0,1449,1,1,0,889,4616,2936,0,0,0,1,0,784,5,1,2,6,0,3,0,0,34,10,1,90.9,45.0,1.27,142.0,96.0,69.0,18.0,9.0,10.0,8.0,21.6,2.0,1.0,1.0,45.8,0.32,0.8,0.02,162.0,420.0,38.6,1208.0,132.0,26.3,30.4,498.0,56.0,11.2,35.0,0.99,13.7
23,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,34.0,1989.0,5,5,450,5.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,117,156,75.0,2823,1985,0,0.0,0.0,0.0,0,5,0,0,126,29,6,0,1,117,0,0,0,0,0,0,0,0,0,1,4,0,0.0,0,0,0,0.0,173,141,173,0,0,0,173,0,0,0,100,452,276,0,0,0,0,0,88,0,0,0,1,0,0,0,0,4,2,0,100.0,13.0,2.6,37.0,24.0,70.3,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,12.6,0.29,-0.4,-0.07,24.0,52.0,46.2,132.0,29.0,33.3,29.5,74.0,8.0,10.8,0.0,0.0,6.5
24,Arijanet Muric,xk KVX,GK,Ipswich Town,eng Premier League,25.0,1998.0,18,18,1620,18.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,454,633,71.7,11705,8247,0,0.0,0.0,0.0,0,14,0,1,485,143,49,0,3,454,0,0,0,2,2,0,0,0,0,10,5,1,0.06,0,1,0,0.0,689,559,672,18,0,0,689,0,0,0,405,2088,1178,0,0,0,3,1,321,1,0,0,4,0,0,0,0,26,11,1,91.7,33.0,1.83,100.0,67.0,70.0,2.0,6.0,10.0,1.0,5.6,3.0,3.0,0.0,31.4,0.29,-1.6,-0.09,76.0,229.0,33.2,534.0,94.0,29.6,30.3,249.0,39.0,15.7,20.0,1.11,12.2
25,Neto,br BRA,GK,Bournemouth,eng Premier League,35.0,1989.0,2,2,180,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,62,64.5,1183,896,0,0.0,0.0,0.0,0,2,0,0,42,19,4,0,0,40,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0.0,70,60,70,0,0,0,70,0,0,0,35,148,99,0,0,0,0,0,28,0,0,0,2,0,0,0,0,3,0,0,0.0,2.0,1.0,13.0,11.0,84.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.35,2.3,1.17,9.0,27.0,33.3,46.0,7.0,43.5,36.8,30.0,2.0,6.7,3.0,1.5,12.6
26,Robin Olsen,se SWE,GK,Aston Villa,eng Premier League,34.0,1990.0,4,1,226,2.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,65,101,64.4,2083,1590,0,0.0,0.0,0.0,0,4,0,0,65,36,10,0,0,65,1,0,1,1,0,0,0,0,1,2,1,2,0.8,0,2,1,0.4,110,94,109,1,0,0,110,0,0,0,50,270,132,0,0,0,0,0,46,0,0,0,0,0,0,0,0,2,0,0,0.0,6.0,2.39,14.0,8.0,64.3,1.0,0.0,0.0,1.0,100.0,1.0,1.0,0.0,6.3,0.4,0.3,0.12,19.0,54.0,35.2,75.0,1.0,42.7,35.9,40.0,3.0,7.5,0.0,0.0,8.6
27,André Onana,cm CMR,GK,Manchester United,eng Premier League,28.0,1996.0,34,34,3060,34.0,0,0,0,0,0.0,0.0,0.2,0.2,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,948,1306,72.6,22819,13922,0,0.2,0.2,-0.2,1,28,0,1,1066,235,86,1,2,948,2,2,2,4,2,0,0,0,2,11,4,4,0.12,3,1,0,0.0,1371,1046,1350,22,0,0,1371,1,1,0,961,4851,2676,0,0,0,1,0,832,0,0,0,2,0,2,0,0,34,6,0,100.0,44.0,1.29,132.0,88.0,68.9,10.0,9.0,15.0,9.0,26.5,4.0,3.0,1.0,44.0,0.31,1.0,0.03,118.0,440.0,26.8,1152.0,136.0,29.7,30.3,399.0,22.0,5.5,23.0,0.68,11.8
28,Stefan Ortega,de GER,GK,Manchester City,eng Premier League,31.0,1992.0,13,12,1100,12.2,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,373,459,81.3,8327,5597,0,0.0,0.0,0.0,0,6,0,0,388,70,21,0,2,373,0,0,0,1,1,0,0,0,0,11,1,0,0.0,0,0,0,0.0,492,383,489,3,0,0,492,0,0,0,323,1489,864,0,0,0,0,0,309,1,0,1,2,0,0,1,0,8,2,0,100.0,18.0,1.47,50.0,33.0,68.0,5.0,4.0,3.0,3.0,25.0,2.0,2.0,0.0,16.3,0.31,-0.7,-0.06,40.0,104.0,38.5,409.0,55.0,21.5,26.7,133.0,6.0,4.5,12.0,0.98,14.3
29,Alex Palmer,eng ENG,GK,Ipswich Town,eng Premier League,27.0,1996.0,13,13,1170,13.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,299,423,70.7,8545,6103,0,0.0,0.0,0.0,1,8,0,1,287,136,42,0,0,299,0,0,0,0,0,0,0,0,0,12,0,3,0.23,3,0,0,0.0,470,396,461,10,0,0,470,0,0,0,210,1205,750,0,0,0,2,0,170,2,0,1,4,0,0,0,0,17,5,0,100.0,30.0,2.31,71.0,43.0,59.2,1.0,3.0,9.0,0.0,0.0,1.0,1.0,0.0,25.1,0.35,-2.9,-0.22,71.0,186.0,38.2,329.0,55.0,36.8,33.9,249.0,20.0,8.0,13.0,1.0,11.5
30,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,30.0,1994.0,38,38,3420,38.0,1,1,7,0,0.0,0.0,0.4,0.4,0.03,0.01,0,0,0,0.0,0.0,0.0,0.0,0.0,1057,1595,66.3,33692,25121,1,0.4,0.2,0.6,2,74,8,0,1167,419,188,0,7,1057,1,0,1,2,1,0,0,1,2,30,2,13,0.34,12,1,2,0.05,1708,1116,1640,69,0,0,1708,0,0,0,989,5989,3568,0,0,0,2,0,871,7,0,0,7,1,0,0,0,36,5,1,83.3,44.0,1.16,163.0,117.0,73.0,11.0,15.0,12.0,12.0,31.6,2.0,0.0,2.0,48.8,0.3,4.8,0.13,304.0,806.0,37.7,1355.0,161.0,48.8,39.7,558.0,31.0,5.6,57.0,1.5,15.2
31,Nick Pope,eng ENG,GK,Newcastle United,eng Premier League,32.0,1992.0,28,28,2520,28.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,575,782,73.5,14597,8818,0,0.0,0.0,0.0,1,2,0,1,528,254,67,0,0,575,0,0,0,0,0,1,1,1,1,32,5,7,0.25,6,1,0,0.0,872,688,857,15,0,0,872,0,0,0,439,2510,1708,0,0,0,0,1,305,2,0,2,5,1,0,2,0,24,11,1,91.7,35.0,1.25,120.0,86.0,71.7,13.0,6.0,9.0,8.0,28.6,2.0,1.0,1.0,34.8,0.28,1.8,0.06,72.0,257.0,28.0,595.0,192.0,25.7,30.7,359.0,39.0,10.9,64.0,2.29,16.0
32,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,eng Premier League,22.0,2001.0,2,1,145,1.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,46,70,65.7,1445,1110,0,0.0,0.0,0.0,0,2,0,0,50,20,4,0,0,46,0,0,0,0,0,0,0,0,0,2,0,2,1.24,2,0,0,0.0,72,60,71,1,0,0,72,0,0,0,44,191,80,0,0,0,0,0,36,0,0,0,0,0,0,0,0,1,1,0,100.0,2.0,1.24,4.0,3.0,50.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.6,0.14,-0.4,-0.26,15.0,38.0,39.5,54.0,7.0,42.6,34.9,16.0,2.0,12.5,0.0,0.0,4.7
